EmployeeID,FirstName,LastName,Department,Designation,JoiningDate,Salary,Age,YearsOfExperience,Performance_Rating,Project_Count
1085,Divya,Patel,HR,Manager,3/23/2015,1069565,57,16,2,8
1086,Arjun,Gupta,Marketing,Software Engineer,8/8/2018,1904050,46,29,3.73,4
1087,Kavya,Sharma,Marketing,Senior Manager,10/31/2022,2417191,37,23,3.74,5
1088,Nikhil,Patel,HR,Software Engineer,8/28/2020,1909425,40,6,3.01,6
1089,Divya,Gupta,Marketing,Software Engineer,2/15/2018,1839663,22,6,4.11,14
1090,Vikram,Kumar,Marketing,Software Engineer,7/16/2021,1298899,26,19,4.37,8
1091,Priya,Singh,Sales,Data Analyst,4/26/2017,1568306,43,26,3.32,11
1092,Vikram,Sharma,Finance,Associate,2/22/2015,2398729,45,8,3.48,8
1093,Divya,Reddy,Finance,Data Analyst,8/21/2022,407792,58,21,2.13,7
1094,Pooja,Rao,Operations,Data Analyst,3/26/2021,2120844,57,1,4.58,4
1095,Nikhil,Rao,Operations,Executive,8/14/2022,1587116,57,13,1.1,6
1096,Kavya,Kumar,Sales,Executive,5/23/2015,1251302,25,16,2.39,4
1097,Kavya,Desai,Operations,Software Engineer,5/14/2023,310785,57,0,3.89,14
1098,Kavya,Desai,HR,Data Analyst,3/11/2021,1420803,39,8,1.32,7
1099,Nikhil,Kumar,Engineering,Software Engineer,8/18/2020,1205112,37,19,1.73,12
1100,Rajesh,Patel,Engineering,Executive,3/29/2021,450653,39,20,3.36,13
1101,Nikhil,Sharma,Engineering,Associate,8/22/2023,563606,43,18,3.24,12
1102,Arjun,Rao,Sales,Senior Manager,11/12/2020,2068109,23,3,3.96,13
1103,Nikhil,Rao,Sales,Software Engineer,10/21/2020,1233015,42,27,4.25,13
1104,Divya,Patel,Marketing,Associate,11/24/2024,2048350,57,7,1.51,11
1105,Rajesh,Rao,Engineering,Senior Manager,7/25/2022,1945437,50,12,1.07,14
1106,Kavya,Reddy,HR,Manager,6/3/2019,1194235,47,3,3.76,1
1107,Divya,Sharma,Operations,Software Engineer,1/25/2022,1886250,42,8,2.21,5
1108,Divya,Nair,HR,Software Engineer,11/21/2018,686213,38,8,3.5,14
1109,Rohan,Rao,Operations,Manager,4/15/2017,1403036,37,21,1.6,10
1110,Amit,Kumar,Engineering,Manager,12/18/2020,716690,52,17,2.88,12
1111,Rajesh,Reddy,Engineering,Software Engineer,4/10/2024,1323577,30,11,3.02,10
1112,Divya,Rao,Engineering,Manager,4/14/2024,1463951,52,9,3.34,4
1113,Amit,Reddy,Sales,Data Analyst,6/1/2018,452117,35,10,3.05,11
1114,Amit,Gupta,Operations,Senior Manager,4/10/2020,1177751,58,6,2.98,7
1115,Rajesh,Nair,Sales,Senior Manager,2/11/2017,1465158,23,8,2.33,13
1116,Rohan,Verma,Sales,Senior Manager,12/13/2024,1222426,35,5,1.28,9
1117,Vikram,Kumar,Finance,Data Analyst,10/21/2024,2115879,54,18,1.36,5
1118,Pooja,Kumar,HR,Manager,6/28/2021,978066,56,15,2.74,4
1119,Arjun,Sharma,HR,Associate,1/15/2023,2177779,41,29,2.42,9
1120,Pooja,Reddy,Marketing,Manager,2/23/2022,1925199,23,14,3.06,5
1121,Nikhil,Patel,Sales,Software Engineer,12/5/2020,2101951,40,6,2.22,9
1122,Kavya,Kumar,Operations,Executive,7/14/2015,352949,58,15,3.75,8
1123,Arjun,Reddy,Finance,Senior Manager,7/18/2019,763930,39,4,4.46,4
1124,Nikhil,Reddy,Finance,Manager,9/28/2021,2492710,37,15,2.2,11
1125,Divya,Singh,HR,Associate,10/8/2021,1309260,25,0,1.77,11
1126,Kavya,Singh,Sales,Software Engineer,9/23/2018,1089148,33,18,1.46,7
1127,Priya,Verma,Marketing,Data Analyst,5/30/2024,1815509,50,4,3.47,5
1128,Rajesh,Gupta,Sales,Data Analyst,9/2/2016,1853091,28,6,2.78,10
1129,Arjun,Verma,Engineering,Associate,1/1/2020,2469068,35,18,1.75,4
1130,Arjun,Rao,Sales,Software Engineer,11/26/2021,1608166,33,21,3.61,5
1131,Divya,Patel,Engineering,Senior Manager,12/19/2021,2395104,56,4,1.59,5
1132,Vikram,Rao,Engineering,Manager,6/25/2021,2298053,26,28,3.22,11
1133,Amit,Desai,Marketing,Software Engineer,10/1/2017,1423270,38,16,3.11,9
1134,Kavya,Rao,Operations,Data Analyst,7/24/2016,1155126,53,25,3.94,12
1135,Divya,Sharma,HR,Associate,5/10/2021,1630728,31,21,1.22,9
1136,Ananya,Rao,Sales,Associate,12/27/2020,1329242,38,29,4.55,6
1137,Rohan,Verma,Engineering,Manager,10/16/2016,2467626,26,7,3.81,14
1138,Amit,Kumar,Sales,Associate,1/17/2022,650068,30,28,1.86,4
1139,Rajesh,Kumar,Operations,Associate,7/20/2019,1610624,54,28,1.73,2
1140,Amit,Singh,HR,Software Engineer,9/3/2021,2129438,57,0,2.73,14
1141,Vikram,Patel,Operations,Senior Manager,5/15/2023,1895368,57,1,4.27,3
1142,Amit,Patel,HR,Manager,9/11/2016,1403546,39,29,4.37,2
1143,Rajesh,Sharma,Finance,Software Engineer,3/11/2015,704911,30,14,3.08,5
1144,Vikram,Verma,HR,Senior Manager,10/14/2022,2280639,50,19,4.44,6
1145,Pooja,Singh,Marketing,Software Engineer,2/3/2021,2037075,35,27,1.02,11
1146,Arjun,Desai,Operations,Executive,12/28/2021,1469070,46,17,1.14,5
1147,Arjun,Patel,Engineering,Software Engineer,5/18/2023,471277,36,10,4.65,2
1148,Rohan,Kumar,Finance,Associate,1/9/2023,791966,27,24,4.1,12
1149,Nikhil,Rao,Marketing,Senior Manager,8/8/2024,1661212,50,9,2.8,5
1150,Pooja,Rao,Sales,Manager,5/10/2020,1986622,36,23,4.01,9
1151,Pooja,Singh,Operations,Manager,11/19/2019,1903344,50,23,4.82,4
1152,Kavya,Verma,Engineering,Senior Manager,1/6/2019,1527414,25,3,4.09,12
1153,Amit,Verma,HR,Associate,7/14/2016,1681710,39,4,4.37,10
1154,Arjun,Gupta,Engineering,Data Analyst,9/21/2020,2357797,37,3,4.04,2
1155,Rajesh,Nair,Sales,Software Engineer,10/8/2017,1101818,32,12,1.67,3
1156,Sneha,Patel,Finance,Associate,3/16/2024,2239726,35,24,4.33,3
1157,Sneha,Verma,Finance,Executive,10/29/2020,1123857,24,12,1.78,9
1158,Vikram,Kumar,Operations,Senior Manager,12/3/2020,520935,59,17,4.57,4
1159,Arjun,Singh,Finance,Software Engineer,7/19/2018,1173420,39,28,2.83,1
1160,Arjun,Desai,Operations,Manager,7/9/2015,2107720,41,26,3.71,1
1161,Rohan,Gupta,Operations,Data Analyst,4/26/2015,2241345,46,23,2.99,7
1162,Sneha,Reddy,Operations,Executive,3/26/2019,792503,59,1,1.38,7
1163,Arjun,Sharma,HR,Manager,11/5/2015,518599,34,15,2.16,2
1164,Rohan,Desai,Marketing,Senior Manager,1/23/2021,1833183,25,0,4.93,9
1165,Amit,Reddy,Operations,Software Engineer,10/21/2023,1940307,35,25,4.84,9
1166,Ananya,Rao,Operations,Senior Manager,10/28/2023,1640144,54,18,2.28,5
1167,Kavya,Sharma,Marketing,Software Engineer,8/2/2021,1128416,49,8,4.99,3
1168,Priya,Patel,Engineering,Associate,2/9/2017,2438657,58,27,4.38,3
1169,Pooja,Kumar,Operations,Data Analyst,8/16/2023,1244461,29,2,3.44,12
1170,Nikhil,Sharma,HR,Associate,11/9/2023,1767256,55,24,1.16,3
1171,Vikram,Nair,Finance,Associate,12/18/2016,454721,26,6,4.61,6
1172,Ananya,Reddy,Finance,Senior Manager,5/15/2022,2308145,26,28,3.23,4
1173,Kavya,Patel,Sales,Data Analyst,11/11/2017,1310165,52,9,4.47,8
1174,Kavya,Nair,Sales,Software Engineer,1/8/2023,436668,30,0,4.34,13
1175,Kavya,Rao,Finance,Software Engineer,12/18/2024,578518,53,9,4.33,11
1176,Kavya,Nair,Finance,Executive,4/20/2015,1664359,54,20,3.79,13
1177,Sneha,Gupta,HR,Manager,12/20/2023,1462586,24,8,2.17,11
1178,Rohan,Gupta,Marketing,Executive,3/22/2021,1903969,51,27,2.34,11
1179,Pooja,Singh,Sales,Executive,9/22/2024,823472,33,14,2.23,5
1180,Arjun,Desai,Marketing,Software Engineer,8/25/2019,706884,50,14,1.08,1
1181,Kavya,Desai,HR,Senior Manager,6/20/2023,559021,24,2,3.33,9
1182,Nikhil,Patel,Finance,Associate,8/16/2015,447032,47,24,3.8,1
1183,Arjun,Rao,Operations,Associate,5/8/2018,757820,51,4,4.42,6
1184,Rajesh,Verma,Marketing,Associate,9/2/2015,1189171,30,8,1.56,1
1185,Rajesh,Gupta,Finance,Data Analyst,9/30/2024,1662516,47,25,3.18,3
1186,Nikhil,Patel,Finance,Software Engineer,3/1/2023,1333237,23,21,1.03,10
1187,Rohan,Verma,Engineering,Senior Manager,7/9/2023,2018562,24,8,1.38,5
1188,Nikhil,Desai,Marketing,Data Analyst,5/16/2024,1629785,25,22,1.22,10
1189,Sneha,Singh,Operations,Manager,11/7/2015,405072,46,6,3.9,7
1190,Nikhil,Nair,Marketing,Senior Manager,11/8/2018,389360,34,23,1.32,14
1191,Amit,Gupta,Finance,Executive,9/17/2015,2459439,56,22,3.87,10
1192,Arjun,Patel,Operations,Senior Manager,2/8/2017,1007062,44,11,2,8
1193,Ananya,Sharma,HR,Senior Manager,4/17/2017,992353,30,24,4.51,12
1194,Divya,Verma,Engineering,Associate,9/9/2019,987235,23,26,4.25,9
1195,Rohan,Nair,Finance,Senior Manager,9/7/2017,1070644,52,8,4.83,6
1196,Nikhil,Gupta,Sales,Executive,1/4/2016,1455933,23,5,4.54,11
1197,Vikram,Desai,Sales,Executive,9/3/2016,1790309,53,22,4.73,9
1198,Rajesh,Rao,Engineering,Software Engineer,6/21/2016,507440,39,1,4.43,8
1199,Amit,Verma,HR,Senior Manager,9/21/2024,1546735,34,8,3.77,9
1200,Pooja,Desai,Finance,Associate,8/3/2022,2182930,26,27,1.68,10
1201,Kavya,Gupta,Marketing,Senior Manager,9/2/2024,494152,31,28,2.09,4
1202,Divya,Verma,Engineering,Manager,5/25/2019,2228356,46,16,1.85,9
1203,Rohan,Nair,HR,Manager,10/13/2017,903623,55,0,3.41,7
1204,Ananya,Gupta,Marketing,Associate,12/23/2022,1112744,58,18,3.01,5
1205,Divya,Reddy,Sales,Software Engineer,4/5/2018,1275112,51,27,4.47,5
1206,Nikhil,Patel,Sales,Software Engineer,12/28/2017,783178,28,5,4.81,1
1207,Sneha,Nair,Marketing,Executive,4/28/2017,1519925,27,4,2.62,2
1208,Rajesh,Verma,Engineering,Executive,4/18/2016,855839,24,1,3.03,10
1209,Rajesh,Rao,Sales,Data Analyst,7/25/2017,914101,34,8,4.89,3
1210,Pooja,Desai,Finance,Associate,7/20/2018,749813,24,29,2.1,14
1211,Sneha,Sharma,Operations,Senior Manager,9/26/2021,1358213,47,28,4.17,14
1212,Kavya,Desai,Marketing,Associate,8/17/2015,2178266,45,25,1.9,8
1213,Arjun,Verma,Marketing,Data Analyst,2/7/2017,1253197,27,13,3.73,6
1214,Priya,Desai,Sales,Executive,1/31/2023,1227328,33,3,2.01,12
1215,Amit,Patel,Engineering,Associate,6/20/2016,2002417,57,3,4.53,10
1216,Rajesh,Gupta,Finance,Associate,6/4/2018,851238,23,20,3.25,11
1217,Vikram,Sharma,Engineering,Executive,8/23/2023,716704,32,14,1.74,13
1218,Rajesh,Kumar,HR,Data Analyst,7/19/2016,2000734,55,7,1.9,14
1219,Divya,Verma,HR,Executive,10/29/2015,2381280,47,25,2.98,5
1220,Rajesh,Singh,Operations,Software Engineer,11/4/2019,300215,39,3,4.85,13
1221,Rohan,Kumar,Sales,Senior Manager,1/8/2018,667747,42,15,4.08,1
1222,Rajesh,Desai,Sales,Executive,8/18/2020,1155121,57,20,2.95,12
1223,Priya,Verma,Sales,Data Analyst,1/12/2023,1317375,43,27,2.35,11
1224,Priya,Reddy,Operations,Manager,5/15/2016,572544,51,3,3.2,12
1225,Kavya,Singh,HR,Software Engineer,10/20/2020,834633,51,29,3.99,9
1226,Ananya,Sharma,Engineering,Manager,1/20/2020,1382472,29,15,4.14,3
1227,Arjun,Rao,Operations,Executive,6/9/2016,1827222,55,21,2.3,3
1228,Vikram,Reddy,Operations,Software Engineer,3/27/2021,2163907,30,11,3.88,2
1229,Rajesh,Kumar,Engineering,Senior Manager,9/25/2017,1114661,41,15,3.63,4
1230,Rajesh,Gupta,Sales,Executive,11/16/2019,1616303,46,18,4.84,12
1231,Amit,Patel,Finance,Senior Manager,10/28/2015,1222401,40,7,4.72,2
1232,Priya,Rao,Engineering,Associate,8/5/2019,813622,26,5,4.16,13
1233,Vikram,Reddy,HR,Manager,1/23/2018,1420113,32,9,3.89,9
1234,Kavya,Gupta,Marketing,Software Engineer,3/21/2023,2113353,36,4,2.1,12
1235,Pooja,Gupta,Marketing,Senior Manager,7/27/2015,697783,29,28,4.38,10
1236,Ananya,Verma,Operations,Data Analyst,3/8/2019,1199084,40,17,2.71,7
1237,Arjun,Reddy,Marketing,Senior Manager,8/1/2019,770455,44,9,2.09,8
1238,Sneha,Sharma,Finance,Data Analyst,3/31/2022,532117,48,9,2.54,3
1239,Arjun,Desai,Sales,Executive,9/27/2020,2121644,53,6,4.34,6
1240,Rohan,Singh,HR,Software Engineer,9/1/2021,750985,47,17,1.59,10
1241,Divya,Singh,Finance,Senior Manager,10/7/2022,2443184,48,0,2.82,6
1242,Rohan,Kumar,HR,Senior Manager,8/14/2023,804910,40,6,2.97,13
1243,Rajesh,Kumar,HR,Software Engineer,2/19/2018,923090,50,20,1.15,1
1244,Ananya,Singh,Sales,Senior Manager,5/17/2020,2329341,54,0,1.78,6
1245,Divya,Sharma,Operations,Data Analyst,5/25/2023,2235430,40,14,4.31,13
1246,Vikram,Patel,Marketing,Senior Manager,11/20/2024,2069617,58,3,4.32,14
1247,Sneha,Nair,Sales,Manager,11/21/2023,937509,40,27,2.17,3
1248,Priya,Desai,Finance,Executive,9/17/2018,1475033,54,28,4.5,11
1249,Ananya,Patel,Operations,Associate,12/13/2016,1627296,37,19,4.09,3
1250,Ananya,Verma,Finance,Data Analyst,11/22/2019,1180432,44,9,2.67,3
1251,Rohan,Nair,Operations,Manager,5/30/2022,766995,28,22,3.99,10
1252,Rajesh,Nair,Finance,Executive,12/3/2019,2333436,47,8,4.85,11
1253,Nikhil,Reddy,Sales,Software Engineer,10/30/2019,1662836,53,1,2.84,11
1254,Kavya,Sharma,Operations,Data Analyst,5/18/2023,2366905,33,27,1.95,10
1255,Rohan,Sharma,Operations,Associate,8/12/2018,1859048,29,13,4.77,11
1256,Ananya,Nair,HR,Executive,8/5/2023,928474,26,15,3.41,8
1257,Amit,Reddy,HR,Associate,1/24/2019,989995,49,0,1.42,13
1258,Sneha,Desai,Engineering,Software Engineer,4/13/2018,1929618,26,1,3.29,5
1259,Kavya,Nair,Finance,Software Engineer,7/16/2019,2490002,47,6,3,4
1260,Rohan,Rao,HR,Data Analyst,8/14/2022,2089055,26,28,4.42,13
1261,Sneha,Kumar,Engineering,Senior Manager,4/4/2016,1911735,43,9,3.12,9
1262,Amit,Kumar,HR,Software Engineer,12/17/2016,1542522,36,21,2.02,9
1263,Pooja,Patel,Finance,Executive,7/4/2024,1167392,34,19,3.7,1
1264,Amit,Verma,Operations,Senior Manager,10/2/2016,1266325,49,0,3.17,2
1265,Amit,Kumar,Marketing,Manager,9/3/2020,1597776,54,12,1.93,8
1266,Sneha,Gupta,Finance,Associate,10/15/2020,1025527,44,0,3.29,5
1267,Arjun,Patel,Sales,Senior Manager,11/23/2019,2341215,54,4,4.29,7
1268,Sneha,Kumar,HR,Associate,6/11/2021,1803174,39,15,1.11,1
1269,Nikhil,Verma,HR,Senior Manager,4/18/2017,2107317,51,14,3.52,12
1270,Rajesh,Sharma,Operations,Manager,7/10/2020,1783702,47,16,2.4,10
1271,Divya,Sharma,Sales,Software Engineer,9/20/2018,1553179,37,27,2.17,12
1272,Arjun,Desai,Operations,Manager,8/12/2021,2029122,34,22,2.57,5
1273,Priya,Nair,Sales,Software Engineer,5/30/2016,1034172,54,15,2.37,11
1274,Divya,Rao,Marketing,Software Engineer,9/14/2020,409779,47,12,4.33,12
1275,Rajesh,Sharma,HR,Associate,11/7/2016,1367133,22,10,2.1,3
1276,Rohan,Reddy,HR,Executive,10/14/2017,752082,59,16,3.93,10
1277,Kavya,Kumar,Marketing,Manager,3/9/2017,634248,23,16,1.38,12
1278,Nikhil,Reddy,Engineering,Senior Manager,10/29/2016,1826369,27,1,4.81,12
1279,Nikhil,Verma,Operations,Manager,4/2/2023,961440,59,12,3.49,14
1280,Priya,Sharma,Marketing,Associate,11/8/2017,1493502,45,13,3.83,2
1281,Arjun,Rao,Operations,Software Engineer,4/7/2024,2257021,39,10,2.19,2
1282,Pooja,Verma,Finance,Associate,9/10/2024,1221872,48,27,2.65,9
1283,Amit,Gupta,HR,Data Analyst,9/16/2020,1054981,29,9,1.9,13
1284,Arjun,Gupta,Operations,Data Analyst,6/5/2016,681325,49,2,4.73,4
1285,Kavya,Reddy,Sales,Senior Manager,9/29/2018,1113526,31,28,2.95,4
1286,Pooja,Nair,Operations,Associate,12/21/2022,1263544,38,26,3.52,7
1287,Nikhil,Patel,Finance,Senior Manager,9/2/2018,2136309,50,16,3.94,10
1288,Sneha,Nair,HR,Senior Manager,11/14/2015,983970,27,14,2.48,10
1289,Kavya,Desai,Marketing,Data Analyst,7/25/2020,905751,35,8,3.88,13
1290,Rajesh,Nair,Finance,Senior Manager,6/12/2023,2038614,43,9,3.7,2
1291,Priya,Desai,HR,Data Analyst,12/15/2022,773656,27,7,3.82,3
1292,Rajesh,Desai,Operations,Software Engineer,10/1/2016,1258379,47,20,2.96,3
1293,Kavya,Rao,Engineering,Associate,9/21/2021,1374657,33,12,2.53,6
1294,Vikram,Sharma,Engineering,Senior Manager,3/15/2017,1372930,56,26,1.89,3
1295,Vikram,Rao,Sales,Data Analyst,3/7/2017,917585,35,17,4.3,11
1296,Rohan,Desai,HR,Manager,9/26/2023,1994548,43,4,3.43,5
1297,Arjun,Verma,Engineering,Senior Manager,6/30/2017,2432677,44,5,2.78,4
1298,Nikhil,Gupta,Marketing,Executive,8/18/2017,306464,28,29,4.78,3
1299,Nikhil,Desai,HR,Software Engineer,1/3/2015,1889426,46,16,1.19,8
1300,Amit,Rao,Marketing,Software Engineer,9/13/2023,1461140,34,10,4.4,14
1301,Amit,Verma,Marketing,Manager,12/2/2022,1718767,42,19,4.99,10
1302,Amit,Rao,Engineering,Data Analyst,4/8/2021,2135068,31,15,4.55,3
1303,Sneha,Nair,HR,Senior Manager,7/1/2022,2144277,30,8,4.24,6
1304,Divya,Kumar,Operations,Data Analyst,7/8/2016,1895929,36,1,2.5,13
1305,Ananya,Reddy,Finance,Software Engineer,7/31/2019,565039,23,4,1.93,7
1306,Divya,Patel,Engineering,Data Analyst,7/5/2018,1691579,46,0,3.94,7
1307,Rajesh,Rao,Engineering,Software Engineer,12/9/2015,2376259,34,3,2.22,2
1308,Divya,Patel,Operations,Data Analyst,11/10/2019,1267241,55,3,1.7,14
1309,Sneha,Singh,HR,Manager,3/14/2024,396426,55,21,4.15,3
1310,Rohan,Rao,HR,Associate,5/27/2015,1540952,56,25,2.25,12
1311,Rajesh,Kumar,Marketing,Manager,11/29/2017,1360538,59,24,4.66,10
1312,Divya,Patel,Operations,Manager,1/27/2017,2430454,24,2,4.36,10
1313,Sneha,Desai,Operations,Associate,5/19/2017,1696102,27,8,4.39,4
1314,Ananya,Rao,HR,Associate,1/29/2024,304011,40,21,4.09,7
1315,Divya,Sharma,Marketing,Senior Manager,9/5/2019,2264724,24,22,4.52,2
1316,Sneha,Reddy,Engineering,Senior Manager,8/29/2019,319782,39,11,4.22,3
1317,Amit,Kumar,Sales,Manager,8/8/2022,2388097,30,9,3.41,7
1318,Nikhil,Patel,Finance,Manager,7/17/2016,732941,33,1,2.18,7
1319,Amit,Kumar,Engineering,Software Engineer,11/14/2019,1882060,26,10,4.55,10
1320,Nikhil,Verma,HR,Software Engineer,4/19/2019,903151,24,9,4.36,3
1321,Priya,Reddy,Finance,Senior Manager,12/18/2020,2123327,32,29,2.89,12
1322,Priya,Desai,Sales,Executive,12/27/2024,2084292,51,21,1.16,1
1323,Priya,Rao,Sales,Executive,9/9/2022,2140277,25,5,3.55,12
1324,Ananya,Rao,Marketing,Senior Manager,12/23/2018,1208063,26,17,1.2,3
